id,artistid,name,type,imgcoverurl,fileurl,info
2,,music2,jazz,uploads/musics/musicCover-1717065125635-214673476.png,uploads/musics/musicFile-1717065125601-258285874.mp3,music2
3,,music3,pop,uploads/musics/musicCover-1717065224759-303829585.png,uploads/musics/musicFile-1717065224723-404490529.mp3,music3
4,,music4,pop,uploads/musics/musicCover-1717065252374-238416771.png,uploads/musics/musicFile-1717065252333-642137355.mp3,music4
5,,music5,classic,uploads/musics/musicCover-1717065267193-319483201.png,uploads/musics/musicFile-1717065267104-224710420.mp3,music5
6,,music6,classic,uploads/musics/musicCover-1717065279407-50903680.png,uploads/musics/musicFile-1717065279362-344115876.mp3,music6
7,,music7,classic,uploads/musics/musicCover-1717065291273-896576624.png,uploads/musics/musicFile-1717065291253-189678597.mp3,music7
8,,music8,pop,uploads/musics/musicCover-1717065305234-710912566.png,uploads/musics/musicFile-1717065305204-525754133.mp3,music8
9,,music9,jazz,uploads/musics/musicCover-1717065321656-90840735.png,uploads/musics/musicFile-1717065321610-953040689.mp3,music9
10,,music10,jazz,uploads/musics/musicCover-1717065338652-356489578.png,uploads/musics/musicFile-1717065338625-95555781.mp3,music10
11,,music11,jazz,uploads/musics/musicCover-1717065349745-78583093.png,uploads/musics/musicFile-1717065349716-548718549.mp3,music11
12,,music12,jazz,uploads/musics/musicCover-1717065360742-580634312.png,uploads/musics/musicFile-1717065360723-134857861.mp3,music12
13,,music13,jazz,uploads/musics/musicCover-1717065369605-782620337.png,uploads/musics/musicFile-1717065369538-392758944.mp3,music13
14,,music14,jazz,uploads/musics/musicCover-1717065380623-851329723.png,uploads/musics/musicFile-1717065380599-259158961.mp3,music14
15,,music15,classic,uploads/musics/musicCover-1717065398764-470883923.png,uploads/musics/musicFile-1717065398654-19352629.mp3,music15
